_id;amount_sold_in_ico;available_supply;btc_price_at_launch;btc_price_usd;eth_price_at_launch;eth_price_usd;id;is_erc20;market_cap_usd;name;price_btc;price_usd;start_date;total_supply
5dde697421a851220c70d93e;51173144.0;;457.0;5948.07580524;0.3;170.095529807;storj;false;;Storj;;0.127185807365;2014-07-18T00:00:00.000Z;
5dde697421a851220c70d93f;28904984.0;;659.56;5948.07580524;10.94;170.095529807;nexium;false;;Beyond the Void;;0.002356484;2016-11-01T00:00:00.000Z;
5dde697421a851220c70d940;647624.0;;729.976;5948.07580524;8.4;170.095529807;tokes;false;;Tokes;;0.31171779299999997;2016-12-02T00:00:00.000Z;
5dde697421a851220c70d941;27000000.0;;1813.23;5948.07580524;96.2;170.095529807;aragon;true;;Aragon;;0.678895303;2017-05-17T00:00:00.000Z;
5dde697421a851220c70d942;19000000.0;;688.68;5948.07580524;9.67;170.095529807;spectrecoin;false;;Spectrecoin;;0.22985429999999998;2016-11-20T00:00:00.000Z;
5dde697421a851220c70d943;600000000.0;;2349.87;5948.07580524;234.03;170.095529807;district0x;true;;district0x;;0.014911061;2017-07-18T00:00:00.000Z;
5dde697421a851220c70d944;17500000.0;;579.653;5948.07580524;12.16;170.095529807;neo;false;;Neo;;8.9602915617;2015-10-01T00:00:00.000Z;
5dde697421a851220c70d945;170000000.0;;2445.73;5948.07580524;273.12;170.095529807;wagerr;false;;Wagerr;;0.100188879446;2017-07-01T00:00:00.000Z;
5dde697421a851220c70d946;330000000.0;;2556.94;5948.07580524;253.49;170.095529807;civic;true;;Civic;;0.0663911;2017-07-06T00:00:00.000Z;
5dde697421a851220c70d947;35998518.0;;2523.02;5948.07580524;290.47;170.095529807;populous;true;;Populous;;1.0125285968;2017-06-24T00:00:00.000Z;
5dde697421a851220c70d948;1000000000.0;;134.69;5948.07580524;0.3;170.095529807;nxt;false;;NXT;;0.0309907;2013-09-28T00:00:00.000Z;
5dde697421a851220c70d949;98312024.0;;1972.3;5948.07580524;155.2;170.095529807;omisego;true;;OmiseGO;;1.7514227955;2017-07-15T00:00:00.000Z;
5dde697421a851220c70d94a;21088888.0;;1228.71;5948.07580524;17.3;170.095529807;metalpay;true;;Metal;;0.44446653999999997;2017-03-01T00:00:00.000Z;
5dde697421a851220c70d94b;104661310.533697;;2523.02;5948.07580524;290.47;170.095529807;tenx;true;;TenX;;0.23092692;2017-06-24T00:00:00.000Z;
5dde697421a851220c70d94c;500000000.0;;4170.8;5948.07580524;286.65;170.095529807;0x;true;;0x;;0.2684051499;2017-08-15T00:00:00.000Z;
5dde697421a851220c70d94d;3839463249.0;;2701.0;5948.07580524;327.63;170.095529807;funfair;true;;FunFair;;0.00533218;2017-06-22T00:00:00.000Z;
5dde697421a851220c70d94e;150000000.0;;4833.9;5948.07580524;301.0;170.095529807;airswap;true;;AirSwap;;0.0364230190302;2017-10-10T00:00:00.000Z;
5dde697421a851220c70d94f;350000000.0;;4389.17;5948.07580524;333.6;170.095529807;tierion;true;;Tierion;;0.0176547;2017-08-27T00:00:00.000Z;
5dde697421a851220c70d950;700000000.0;;5702.7;5948.07580524;339.64;170.095529807;request-network;true;;Request Network;;0.0245385;2017-10-13T00:00:00.000Z;
5dde697421a851220c70d951;350000000.0;;4009.4;5948.07580524;291.11;170.095529807;chainlink;true;;ChainLink;;0.6057049704;2017-09-19T00:00:00.000Z;
5dde697421a851220c70d952;120000000.0;;3795.8;5948.07580524;264.0;170.095529807;kyber-network;true;;Kyber Network;;0.221903829;2017-09-17T00:00:00.000Z;
5dde697421a851220c70d953;12101741.0;;3279.3;5948.07580524;265.33;170.095529807;neblio;false;;Neblio;;1.0242904536;2017-08-06T00:00:00.000Z;
5dde697421a851220c70d954;122707503.0;;2487.8;5948.07580524;292.75;170.095529807;suncontract;true;;SunContract;;0.0463311;2017-06-28T00:00:00.000Z;
5dde697421a851220c70d955;6247267.3;;2554.01;5948.07580524;316.2;170.095529807;trueflip;true;;TrueFlip;;0.374264796975;2017-06-28T00:00:00.000Z;
5dde697421a851220c70d956;4578754.579;;572.3;5948.07580524;0.31142;170.095529807;synereo;false;;Synereo;;0.0164409957;2015-03-23T00:00:00.000Z;
5dde697421a851220c70d957;127616023.15;;3748.8;5948.07580524;281.5;170.095529807;unikoin-gold;true;;Unikoin Gold;;0.0259336;2017-09-23T00:00:00.000Z;
5dde697421a851220c70d958;350000000.0;;4389.8;5948.07580524;310.0;170.095529807;power-ledger;true;;Power Ledger;;0.1067657949;2017-09-08T00:00:00.000Z;
5dde697421a851220c70d959;100000000.0;;2267.945;5948.07580524;194.845;170.095529807;binance;true;;Binance;;20.7356769159;2017-07-14T00:00:00.000Z;
5dde697421a851220c70d95a;26000000000.0;;204.9;5948.07580524;1.3;170.095529807;Cardano;true;;Cardano;;0.0644715072;2015-09-01T00:00:00.000Z;
5dde697421a851220c70d95b;526315790.0;;12650.0;5948.07580524;731.51;170.095529807;zilliqa;true;;Zilliqa;;0.0167399786;2017-12-27T00:00:00.000Z;
5dde697421a851220c70d95c;750000000.0;;2258.25;5948.07580524;222.37;170.095529807;Loopring;true;;Loopring;;0.0580219373;2017-08-01T00:00:00.000Z;
5dde697421a851220c70d95d;3125500000.0;;15224.25;5948.07580524;939.61;170.095529807;iostoken;true;;Iostoken;;0.0111314301;2018-01-03T00:00:00.000Z;
5dde697421a851220c70d95e;388636364.0;;5089.65;5948.07580524;301.07;170.095529807;icon;true;;ICON;;0.3197092973;2017-10-20T00:00:00.000Z;
5dde697421a851220c70d95f;490423158.0;;2151.9;5948.07580524;271.0;170.095529807;Tezos;true;;Tezos;;1.165263714;2017-07-01T00:00:00.000Z;
5dde697421a851220c70d960;21000000000.0;;4394.8;5948.07580524;300.08;170.095529807;dentacoin;true;;Dentacoin;;0.0000408002;2017-10-01T00:00:00.000Z;
5dde697421a851220c70d961;75000000.0;;10868.85;5948.07580524;463.82;170.095529807;bloom;true;;Bloom;;0.066293775;2017-11-30T00:00:00.000Z;
5dde697421a851220c70d962;229258029.0;;16679.99;5948.07580524;785.65;170.095529807;sirin-labs;true;;Sirin Labs;;0.0234029;2017-12-12T00:00:00.000Z;
5dde697421a851220c70d963;36842105263.0;;4060.0;5948.07580524;389.33;170.095529807;tron;true;;Tron;;0.0247250539;2017-08-31T00:00:00.000Z;
5dde697421a851220c70d964;501200000.0;;2675.05;5948.07580524;336.49;170.095529807;bytom;true;;Bytom;;0.096801353;2017-06-20T00:00:00.000Z;
5dde697421a851220c70d965;400146198.8;;9699.9;5948.07580524;678.865;170.095529807;gochain;false;;GoChain;;0.01815352;2018-05-01T00:00:00.000Z;
5dde697421a851220c70d966;3993461000.0;;3496.9;5948.07580524;241.25;170.095529807;Electroneum;true;;Electroneum;;0.0050208691;2017-09-14T00:00:00.000Z;
